ticker,model,rmse,mae,dir_acc,pred_std,pred_std_ratio,rmse_vs_naive_pct
AAON,XGBoost,0.05499655173467589,0.039594353039923355,0.5139573070607554,0.006351956377764084,0.11657388054960582,-0.6365761377395558
AAON,LSTM(SmoothL1),0.054749651695944174,0.0394691784731205,0.5254515599343186,0.0043277012202485535,0.07942386488510857,-0.18478100218074692
AAP,Naive,0.07554077130923183,0.04982206360832826,0.0,0.0,0.0,0.0
AAP,Ridge,0.07629085522976653,0.050065901818476546,0.4943181818181818,0.005931761642173102,0.07873931757075346,-0.9929524249417281
AAP,Huber,0.07619925416114927,0.05015152353634615,0.49886363636363634,0.00523439026858171,0.06948227904453098,-0.8716919889815424
AAP,RandomForest,0.07616238044196015,0.049996717310045444,0.4909090909090909,0.0039602177920206125,0.05256867439822178,-0.8228789856853854
AAP,HistGradientBoosting,0.0766908615436062,0.05011702716578649,0.5011363636363636,0.007708658071550405,0.10232617433997131,-1.522476160147204
AAP,XGBoost,0.07668365871528161,0.05004399605973281,0.5034090909090909,0.007445722151131766,0.09883591357301695,-1.5129411392574887
AAP,LSTM(SmoothL1),0.07604499203327532,0.049988673051356514,0.48863636363636365,0.0030341644905094458,0.04027606903176282,-0.6674815669798049
AAPL,Naive,0.04195089233728782,0.03199355197743354,0.0,0.0,0.0,0.0
AAPL,Ridge,0.041734573309327554,0.031675610653029415,0.5629850746268656,0.003060704637498614,0.0734780563786913,0.5156482160642663
AAPL,Huber,0.042102514457247435,0.032212219928234184,0.48059701492537316,0.003502302242416179,0.08407944970272863,-0.3614276395852663
AAPL,RandomForest,0.04166284703173855,0.031560961271716426,0.5743283582089552,0.0017658575644915334,0.04239278109059491,0.6866249786377956
AAPL,HistGradientBoosting,0.04195570979501893,0.03175041464066226,0.5671641791044776,0.003876638938281393,0.09306611653310803,-0.011483564383759646
AAPL,XGBoost,0.04177137883866542,0.031633432065112925,0.5677611940298507,0.0041954060036684,0.10071872832557378,0.42791342119519094
AAPL,LSTM(SmoothL1),0.041945669289677905,0.03223044496371129,0.48895522388059703,0.003492665185328241,0.08384809375437717,0.012450385007119808
AAT,Naive,0.03896192660014133,0.0298232691323472,0.0,0.0,0.0,0.0
AAT,Ridge,0.04023468853574689,0.03085492577958428,0.46716697936210133,0.006894062936831687,0.177330701645108,-3.2666812107821657
AAT,Huber,0.039622433527578285,0.030188640431397944,0.47842401500938087,0.005456198821665475,0.1403456240864852,-1.6952624910354301
AAT,RandomForest,0.038968153795146246,0.029906750844880856,0.4915572232645403,0.004252883095191841,0.10939365511965882,-0.015982769714703852
AAT,HistGradientBoosting,0.04031554014691509,0.030995168438800156,0.46904315196998125,0.009755932635843107,0.2509443843736559,-3.4741956183677134
AAT,XGBoost,0.03948932437795269,0.03029494458849486,0.48592870544090055,0.00857085820427867,0.22046162226710947,-1.353623457135312
AAT,LSTM(SmoothL1),0.03872195580913906,0.029614486054816033,0.5309568480300187,0.0022508866416678184,0.05789783341809662,0.6159109981009157
AB,Naive,0.04976037903479016,0.03392681645210061,0.0,0.0,0.0,0.0
AB,Ridge,0.050264815129118755,0.03398491184577751,0.5075268817204301,0.005197083941021523,0.10482132887469872,-1.013730409842576
AB,Huber,0.04994954762237124,0.03382813251560325,0.5254480286738351,0.004368868894035666,0.0881168455905564,-0.38015905676447226
AB,RandomForest,0.05015086631823558,0.03378461321383296,0.5455197132616487,0.0044377268270800576,0.08950565903424679,-0.7847353477199422
AB,HistGradientBoosting,0.0508022750200507,0.0339030906752981,0.5412186379928315,0.009585391575180888,0.19333023943756256,-2.093826464891064
AB,XGBoost,0.051077551181427136,0.033985520461230226,0.5390681003584229,0.011130079374630522,0.224485446794675,-2.64702997080483
AB,LSTM(SmoothL1),0.049622621890616954,0.033640173554263034,0.5519713261648745,0.0019827921373010834,0.039991446948488475,0.2768410266266058
ABAT,Naive,0.257364658138163,0.11089868357012314,0.0,0.0,0.0,0.0
ABAT,Ridge,0.2619151098200658,0.11796953267978605,0.4556213017751479,0.03696655681396643,0.14380042254391753,-1.7680950114991756
ABAT,Huber,0.25932752786952173,0.11071198219570921,0.5621301775147929,0.01749517051773201,0.06805645777583608,-0.7626803717179331
ABAT,RandomForest,0.3270100483781839,0.2171851548688685,0.4230769230769231,0.11231134627335701,0.4368927063416181,-27.060976726117797
ABAT,HistGradientBoosting,0.2691844956526546,0.146958500202088,0.44970414201183434,0.08983512453327072,0.349459889710071,-4.5926420511655035
ABAT,XGBoost,0.3219431863014639,0.18345617337347958,0.4260355029585799,0.1537020237897587,0.5979030202367129,-25.092228525267334
ABAT,LSTM(SmoothL1),0.2618964512472262,0.11120448036696605,0.5769230769230769,0.009668952533949676,0.0376123604623554,-1.760845153272899
ABBV,Naive,0.03724603443581954,0.0259590008404986,0.0,0.0,0.0,0.0
ABBV,Ridge,0.03685397154173539,0.025966574457923962,0.5401301518438177,0.006153440899328138,0.16612140593382355,1.0526298974451316
ABBV,Huber,0.03674288748359628,0.02578001910225235,0.5553145336225597,0.005521158534825667,0.14905199110450731,1.3508738845480361
ABBV,RandomForest,0.03702145147505323,0.02565468306622105,0.5704989154013015,0.0026250900529073092,0.070868260120849,0.6029714684211486
ABBV,HistGradientBoosting,0.03714342771223106,0.026112434753850302,0.49891540130151846,0.0047580596078183775,0.12845098612290684,0.275483618975023
ABBV,XGBoost,0.037227022689902835,0.026013363398528506,0.5227765726681128,0.005032679019466222,0.13586475079636626,0.05104367808461007
ABBV,LSTM(SmoothL1),0.03707767048111231,0.025709190226527182,0.5683297180043384,0.0013868195626828303,0.03743928304480119,0.45203189348209366
ABCB,Naive,0.048972996037361875,0.03768344898247718,0.0,0.0,0.0,0.0
ABCB,Ridge,0.049998663265256496,0.038400977655394394,0.49871244635193135,0.008998770185708304,0.18463216739841068,-2.0943526246834714
ABCB,Huber,0.04989558519795675,0.038367239512908845,0.5021459227467812,0.009032685624183584,0.18532802703086396,-1.8838732265655582
ABCB,RandomForest,0.04908801263702535,0.03781356278987555,0.5141630901287554,0.005037310176794425,0.10335295563795095,-0.23485718450986154
ABCB,HistGradientBoosting,0.04961220606363184,0.038192421067107366,0.47124463519313303,0.00689697012683715,0.14150850802062165,-1.305229571379109
ABCB,XGBoost,0.04929502880250771,0.03789263883410916,0.4978540772532189,0.005475819934397307,0.1123500747220849,-0.6575721136198287
ABCB,LSTM(SmoothL1),0.048991970300123706,0.03785934066267977,0.5055793991416309,0.00359962985994545,0.07385536569533517,-0.03874433728203091
ABCL,Naive,0.11227971682988763,0.08419510977594828,0.0,0.0,0.0,0.0
ABCL,Ridge,0.11367766070485455,0.08674793304717335,0.4720496894409938,0.014174520512417731,0.1272341753931471,-1.2450546852419562
ABCL,Huber,0.11328188064739941,0.08628495129301027,0.484472049689441,0.015249857835775935,0.13688668233241835,-0.8925599794931223
ABCL,RandomForest,0.114519047330766,0.08577516111912743,0.4658385093167702,0.005992266017596434,0.053788135183644004,-1.9944212223754727
ABCL,HistGradientBoosting,0.11933446813381285,0.09106412305495662,0.4720496894409938,0.016010491698032096,0.1437143293174069,-6.283192996125654
ABCL,XGBoost,0.11685432202415999,0.08771141777289737,0.4782608695652174,0.014060300472305592,0.12620890666505793,-4.0742934907853705
ABCL,LSTM(SmoothL1),0.11360425725691733,0.08495439932016825,0.4782608695652174,0.0027631832018978186,0.024803049658411177,-1.179679165949877
ABEO,Naive,0.13451670318736245,0.09344711830978368,0.0,0.0,0.0,0.0
ABEO,Ridge,0.13571617347377163,0.09611647010858167,0.4851425106124924,0.019926292816793752,0.14815535437692168,-0.8916887330627575
ABEO,Huber,0.13426759073595157,0.09368738652910555,0.5172832019405701,0.016232856345657846,0.12069403007134845,0.18519072019175106
ABEO,RandomForest,0.13461274932765582,0.09405506031925444,0.4572468162522741,0.012572650497858134,0.09347978106582255,-0.07140090265191681
ABEO,HistGradientBoosting,0.13457085918117934,0.09296260497123805,0.5567010309278351,0.013772695126646414,0.10240231567278196,-0.040259679678187284
ABEO,XGBoost,0.13680361378100447,0.09701326889203006,0.46088538508186777,0.021451579829114217,0.15949612106717126,-1.700094144038521
ABEO,LSTM(SmoothL1),0.13461314750193049,0.09322614077835883,0.5427531837477259,0.0012757620038962127,0.009485506086137501,-0.07169690624494884
ABEV,Naive,0.042615343329662436,0.03216886079686545,0.0,0.0,0.0,0.0
ABEV,Ridge,0.04277020776001014,0.03263028315657667,0.46131243878550443,0.0032284273300987637,0.07578547650373925,-0.3634006398815353
ABEV,Huber,0.04282526133135854,0.032844442970573165,0.4564152791380999,0.002098840748195755,0.049269080559609164,-0.49258784581935167
