train_feat_before_target_end,train_return_identity,train_no_nan,val_feat_before_target_end,val_return_identity,val_no_nan,test_feat_before_target_end,test_return_identity,test_no_nan,disjoint,horizon_ok,ticker,all_passed
True,True,True,True,True,True,True,True,True,True,True,AGNCP,True
True,True,True,True,True,True,True,True,True,True,True,AGO,True
True,True,True,True,True,True,True,True,True,True,True,AGRI,True
True,True,True,True,True,True,True,True,True,True,True,AGRO,True
True,True,True,True,True,True,True,True,True,True,True,AGS,True
True,True,True,True,True,True,True,True,True,True,True,AGX,True
True,True,True,True,True,True,True,True,True,True,True,AGYS,True
True,True,True,True,True,True,True,True,True,True,True,AHCO,True
True,True,True,True,True,True,True,True,True,True,True,AHG,True
True,True,True,True,True,True,True,True,True,True,True,AHH,True
True,True,True,True,True,True,True,True,True,True,True,AHT,True
True,True,True,True,True,True,True,True,True,True,True,AI,True
True,True,True,True,True,True,True,True,True,True,True,AIFF,True
True,True,True,True,True,True,True,True,True,True,True,AIFU,True
True,True,True,True,True,True,True,True,True,True,True,AIG,True
True,True,True,True,True,True,True,True,True,True,True,AIHS,True
True,True,True,True,True,True,True,True,True,True,True,AIM,True
True,True,True,True,True,True,True,True,True,True,True,AIMD,True
True,True,True,True,True,True,True,True,True,True,True,AIN,True
True,True,True,True,True,True,True,True,True,True,True,AIO,True
True,True,True,True,True,True,True,True,True,True,True,AIOT,True
True,True,True,True,True,True,True,True,True,True,True,AIP,True
True,True,True,True,True,True,True,True,True,True,True,AIR,True
True,True,True,True,True,True,True,True,True,True,True,AIRG,True
True,True,True,True,True,True,True,True,True,True,True,AIRI,True
True,True,True,True,True,True,True,True,True,True,True,AIRJ,True
True,True,True,True,True,True,True,True,True,True,True,AIRS,True
True,True,True,True,True,True,True,True,True,True,True,AIRT,True
True,True,True,True,True,True,True,True,True,True,True,AIRTP,True
True,True,True,True,True,True,True,True,True,True,True,AISP,True
True,True,True,True,True,True,True,True,True,True,True,AIT,True
True,True,True,True,True,True,True,True,True,True,True,AIV,True
True,True,True,True,True,True,True,True,True,True,True,AIZ,True
True,True,True,True,True,True,True,True,True,True,True,AIZN,True
True,True,True,True,True,True,True,True,True,True,True,AJG,True
True,True,True,True,True,True,True,True,True,True,True,AKA,True
True,True,True,True,True,True,True,True,True,True,True,AKAM,True
True,True,True,True,True,True,True,True,True,True,True,AKBA,True
True,True,True,True,True,True,True,True,True,True,True,AKR,True
True,True,True,True,True,True,True,True,True,True,True,AKRO,True
True,True,True,True,True,True,True,True,True,True,True,AKTX,True
True,True,True,True,True,True,True,True,True,True,True,AKYA,True
True,True,True,True,True,True,True,True,True,True,True,AL,True
True,True,True,True,True,True,True,True,True,True,True,ALAR,True
True,True,True,True,True,True,True,True,True,True,True,ALB,True
True,True,True,True,True,True,True,True,True,True,True,ALBT,True
True,True,True,True,True,True,True,True,True,True,True,ALC,True
True,True,True,True,True,True,True,True,True,True,True,ALCO,True
True,True,True,True,True,True,True,True,True,True,True,ALDX,True
True,True,True,True,True,True,True,True,True,True,True,ALE,True
True,True,True,True,True,True,True,True,True,True,True,ALEC,True
True,True,True,True,True,True,True,True,True,True,True,ALEX,True
True,True,True,True,True,True,True,True,True,True,True,ALG,True
True,True,True,True,True,True,True,True,True,True,True,ALGM,True
True,True,True,True,True,True,True,True,True,True,True,ALGN,True
True,True,True,True,True,True,True,True,True,True,True,ALGS,True
True,True,True,True,True,True,True,True,True,True,True,ALGT,True
True,True,True,True,True,True,True,True,True,True,True,ALHC,True
True,True,True,True,True,True,True,True,True,True,True,ALIT,True
True,True,True,True,True,True,True,True,True,True,True,ALK,True
True,True,True,True,True,True,True,True,True,True,True,ALKS,True
True,True,True,True,True,True,True,True,True,True,True,ALKT,True
True,True,True,True,True,True,True,True,True,True,True,ALL,True
True,True,True,True,True,True,True,True,True,True,True,ALLE,True
True,True,True,True,True,True,True,True,True,True,True,ALLO,True
True,True,True,True,True,True,True,True,True,True,True,ALLR,True
True,True,True,True,True,True,True,True,True,True,True,ALLT,True
True,True,True,True,True,True,True,True,True,True,True,ALLY,True
True,True,True,True,True,True,True,True,True,True,True,ALNT,True
True,True,True,True,True,True,True,True,True,True,True,ALNY,True
True,True,True,True,True,True,True,True,True,True,True,ALOT,True
True,True,True,True,True,True,True,True,True,True,True,ALRM,True
True,True,True,True,True,True,True,True,True,True,True,ALRS,True
True,True,True,True,True,True,True,True,True,True,True,ALSN,True
True,True,True,True,True,True,True,True,True,True,True,ALT,True
True,True,True,True,True,True,True,True,True,True,True,ALTG,True
True,True,True,True,True,True,True,True,True,True,True,ALTI,True
True,True,True,True,True,True,True,True,True,True,True,ALTO,True
True,True,True,True,True,True,True,True,True,True,True,ALTS,True
True,True,True,True,True,True,True,True,True,True,True,ALUR,True
True,True,True,True,True,True,True,True,True,True,True,ALV,True
True,True,True,True,True,True,True,True,True,True,True,ALX,True
True,True,True,True,True,True,True,True,True,True,True,ALXO,True
True,True,True,True,True,True,True,True,True,True,True,ALZN,True
True,True,True,True,True,True,True,True,True,True,True,AM,True
True,True,True,True,True,True,True,True,True,True,True,AMAL,True
True,True,True,True,True,True,True,True,True,True,True,AMAT,True
True,True,True,True,True,True,True,True,True,True,True,AMBA,True
True,True,True,True,True,True,True,True,True,True,True,AMBC,True
True,True,True,True,True,True,True,True,True,True,True,AMBI,True
True,True,True,True,True,True,True,True,True,True,True,AMBO,True
True,True,True,True,True,True,True,True,True,True,True,AMBP,True
True,True,True,True,True,True,True,True,True,True,True,AMBR,True
True,True,True,True,True,True,True,True,True,True,True,AMC,True
True,True,True,True,True,True,True,True,True,True,True,AMCR,True
True,True,True,True,True,True,True,True,True,True,True,AMCX,True
True,True,True,True,True,True,True,True,True,True,True,AMD,True
True,True,True,True,True,True,True,True,True,True,True,AME,True
True,True,True,True,True,True,True,True,True,True,True,AMED,True
True,True,True,True,True,True,True,True,True,True,True,AMG,True
True,True,True,True,True,True,True,True,True,True,True,AMGN,True
True,True,True,True,True,True,True,True,True,True,True,AMH,True
True,True,True,True,True,True,True,True,True,True,True,AMKR,True
True,True,True,True,True,True,True,True,True,True,True,AMLX,True
True,True,True,True,True,True,True,True,True,True,True,AMN,True
True,True,True,True,True,True,True,True,True,True,True,AMP,True
True,True,True,True,True,True,True,True,True,True,True,AMPG,True
True,True,True,True,True,True,True,True,True,True,True,AMPGW,True
True,True,True,True,True,True,True,True,True,True,True,AMPH,True
True,True,True,True,True,True,True,True,True,True,True,AMPL,True
True,True,True,True,True,True,True,True,True,True,True,AMPY,True
True,True,True,True,True,True,True,True,True,True,True,AMR,True
True,True,True,True,True,True,True,True,True,True,True,AMRC,True
True,True,True,True,True,True,True,True,True,True,True,AMRK,True
True,True,True,True,True,True,True,True,True,True,True,AMRN,True
True,True,True,True,True,True,True,True,True,True,True,AMRX,True
True,True,True,True,True,True,True,True,True,True,True,AMS,True
True,True,True,True,True,True,True,True,True,True,True,AMSC,True
True,True,True,True,True,True,True,True,True,True,True,AMSF,True
True,True,True,True,True,True,True,True,True,True,True,AMST,True
True,True,True,True,True,True,True,True,True,True,True,AMT,True
True,True,True,True,True,True,True,True,True,True,True,AMTB,True
True,True,True,True,True,True,True,True,True,True,True,AMTD,True
True,True,True,True,True,True,True,True,True,True,True,AMTX,True
True,True,True,True,True,True,True,True,True,True,True,AMWD,True
True,True,True,True,True,True,True,True,True,True,True,AMWL,True
True,True,True,True,True,True,True,True,True,True,True,AMX,True
True,True,True,True,True,True,True,True,True,True,True,AMZE,True
True,True,True,True,True,True,True,True,True,True,True,AMZN,True
True,True,True,True,True,True,True,True,True,True,True,AN,True
True,True,True,True,True,True,True,True,True,True,True,ANAB,True
True,True,True,True,True,True,True,True,True,True,True,ANDE,True
True,True,True,True,True,True,True,True,True,True,True,ANEB,True
True,True,True,True,True,True,True,True,True,True,True,ANET,True
True,True,True,True,True,True,True,True,True,True,True,ANF,True
True,True,True,True,True,True,True,True,True,True,True,ANGH,True
True,True,True,True,True,True,True,True,True,True,True,ANGI,True
True,True,True,True,True,True,True,True,True,True,True,ANGO,True
True,True,True,True,True,True,True,True,True,True,True,ANIK,True
True,True,True,True,True,True,True,True,True,True,True,ANIP,True
True,True,True,True,True,True,True,True,True,True,True,ANIX,True
True,True,True,True,True,True,True,True,True,True,True,ANNA,True
True,True,True,True,True,True,True,True,True,True,True,ANNX,True
True,True,True,True,True,True,True,True,True,True,True,ANSS,True
True,True,True,True,True,True,True,True,True,True,True,ANTE,True
True,True,True,True,True,True,True,True,True,True,True,ANVS,True
True,True,True,True,True,True,True,True,True,True,True,ANY,True
True,True,True,True,True,True,True,True,True,True,True,AOD,True
True,True,True,True,True,True,True,True,True,True,True,AOMR,True
True,True,True,True,True,True,True,True,True,True,True,AON,True
True,True,True,True,True,True,True,True,True,True,True,AORT,True
True,True,True,True,True,True,True,True,True,True,True,AOS,True
True,True,True,True,True,True,True,True,True,True,True,AOSL,True
True,True,True,True,True,True,True,True,True,True,True,AOUT,True
True,True,True,True,True,True,True,True,True,True,True,AP,True
True,True,True,True,True,True,True,True,True,True,True,APA,True
True,True,True,True,True,True,True,True,True,True,True,APAM,True
True,True,True,True,True,True,True,True,True,True,True,APD,True
True,True,True,True,True,True,True,True,True,True,True,APDN,True
True,True,True,True,True,True,True,True,True,True,True,APEI,True
True,True,True,True,True,True,True,True,True,True,True,APG,True
True,True,True,True,True,True,True,True,True,True,True,APH,True
True,True,True,True,True,True,True,True,True,True,True,API,True
True,True,True,True,True,True,True,True,True,True,True,APLE,True
True,True,True,True,True,True,True,True,True,True,True,APLM,True
True,True,True,True,True,True,True,True,True,True,True,APLS,True
True,True,True,True,True,True,True,True,True,True,True,APLT,True
True,True,True,True,True,True,True,True,True,True,True,APM,True
True,True,True,True,True,True,True,True,True,True,True,APO,True
True,True,True,True,True,True,True,True,True,True,True,APOG,True
True,True,True,True,True,True,True,True,True,True,True,APP,True
True,True,True,True,True,True,True,True,True,True,True,APPF,True
